Date,Returns,Yield
2015-01-02,0.009967141530112326,7.141276996396172
2015-01-05,0.0036173569882881535,6.281583608538378
2015-01-06,0.011476885381006925,6.132577420476778
2015-01-07,0.020230298564080255,7.0484232427310785
2015-01-08,0.0026584662527666405,6.552520820691527
2015-01-09,0.0026586304305081946,6.648519339605021
2015-01-12,0.020792128155073916,6.046723639190087
2015-01-13,0.012674347291529088,6.389364673912574
2015-01-14,0.0003052561406504789,6.050514605811696
2015-01-15,0.010425600435859647,7.318778658901872
2015-01-16,0.00036582307187537743,6.365095024827796
2015-01-19,0.00034270246429743135,6.836005754359512
2015-01-20,0.007419622715660342,6.058468980991695
2015-01-21,-0.01413280244657798,7.000271086958487
2015-01-22,-0.012249178325130328,6.484541018631141
2015-01-23,-0.0006228752924097269,7.346878780436499
2015-01-27,-0.005128311203344238,7.3321772834010535
2015-01-28,0.00814247332595274,6.487935927542622
2015-01-29,-0.004080240755212111,7.3514413435357016
2015-01-30,-0.009123037013352917,7.494236510248168
2015-02-02,0.019656487689215543,7.238123496185922
2015-02-03,0.0027422369951346434,7.267307021632844
2015-02-04,0.005675282046879239,6.373513104163635
2015-02-05,-0.009247481862134569,6.865053598286634
2015-02-06,-0.0004438272452518266,6.100883870951051
2015-02-09,0.006109225897098661,6.142376905232505
2015-02-10,-0.006509935774223028,7.498338918049936
2015-02-11,0.00875698018345672,6.489958874138867
2015-02-12,-0.0010063868991880497,7.122275868073269
2015-02-13,0.002083062502067232,7.209997579540225
2015-02-16,-0.0010170661222939693,7.2870349065108435
2015-02-18,0.02352278184508938,7.496442446103234
2015-02-19,0.004865027752620661,6.362244727885302
2015-02-20,-0.005577109289558999,6.0605262402895494
2015-02-23,0.013225449121031891,6.616787276991879
2015-02-24,-0.007208436499710222,6.19512100474342
2015-02-25,0.007088635950047554,6.033638833743082
2015-02-26,-0.014596701238797756,6.5406402407122295
2015-02-27,-0.008281860488984305,7.175607376612855
2015-03-02,0.0069686123586912355,6.849271036837607
2015-03-03,0.012384665799954104,6.469166983815531
2015-03-04,0.006713682811899705,6.981513008239079
2015-03-05,0.0038435171761175948,6.348027270463216
2015-03-09,0.0019889630441071123,6.021572169108127
2015-03-10,-0.009785219903674274,7.146530079654641
2015-03-11,-0.0021984420839470864,6.9356146272960135
2015-03-12,0.000393612290402125,7.14345393675144
2015-03-13,0.015571222262189157,6.0584070250314985
2015-03-16,0.008436182895684614,7.255679441745978
2015-03-17,-0.01263040155362734,6.929289300054455
2015-03-18,0.008240839693947951,6.845093026068961
2015-03-19,0.0011491771958368347,6.936921072171797
2015-03-20,-0.0017692200030595873,7.296649870302546
2015-03-23,0.011116762888408679,6.880404759838361
2015-03-24,0.01530999522495951,6.871425569832269
2015-03-25,0.014312801191161986,7.486018735598648
2015-03-26,-0.0033921752322263856,7.135095250602852
2015-03-27,0.0019078762414878542,6.663440708176703
2015-03-30,0.00831263431403564,7.061095500049392
2015-03-31,0.014755451271223591,6.583845707537683
2015-04-01,0.00020825762154710049,6.3433131937252485
2015-04-06,0.003143410233361829,6.895277815331639
2015-04-07,-0.006063349740060282,7.392273147170927
2015-04-08,-0.006962066240806708,7.393709280023194
